2024-08-16 16:27:41,383 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805861.3302 | End Time: 1723805861.3832 | Execution Time: 52.9714 ms |
2024-08-16 16:28:00,486 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805880.4460 | End Time: 1723805880.4867 | Execution Time: 40.7147 ms |
2024-08-16 16:28:08,231 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805888.1819 | End Time: 1723805888.2316 | Execution Time: 49.6609 ms |
2024-08-16 16:28:17,778 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805897.7194 | End Time: 1723805897.7789 | Execution Time: 59.4630 ms |
2024-08-16 16:28:21,240 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805901.2106 | End Time: 1723805901.2409 | Execution Time: 30.2837 ms |
2024-08-16 16:28:28,497 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805908.4376 | End Time: 1723805908.4976 | Execution Time: 59.9532 ms |
2024-08-16 16:28:39,192 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723805919.1568 | End Time: 1723805919.1927 | Execution Time: 35.9468 ms |
2024-08-16 16:32:46,371 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806166.2576 | End Time: 1723806166.3711 | Execution Time: 113.5476 ms |
2024-08-16 16:32:52,445 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806172.3843 | End Time: 1723806172.4458 | Execution Time: 61.4779 ms |
2024-08-16 16:32:56,626 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806176.5671 | End Time: 1723806176.6260 | Execution Time: 58.9302 ms |
2024-08-16 16:33:08,358 | INFO | GBB | System | lib | lib.py | calcprint | Get connection to the SQL server | Start Time: 1723806188.2996 | End Time: 1723806188.3583 | Execution Time: 58.7125 ms |
